title;creators;translator;isbn13;isbn10;publisher;country;continent;language;type;group;labels;status;library
Παράδεισος;Abdulrazak Gurnah;;9786180148435;;Ψυχογιός;Tanzania;Africa;Greek;novel;;;Read;Piraeus Library
Ο Αλλάχ δεν είναι υποχρεωμένος;Ahmadou Kourouma;;9789603753438;;Μεταίχμιο;C?te d'Ivoire;Africa;Greek;novel;;;Read;Piraeus Library
Ο ’γιος και το Τελώνιο;Saki;;9780003290493;;Γράμματα;Myanmar;Asia;Greek;short story collection;;;Read;Piraeus Library
O Τελευταίος Αδελφός;Nathacha Appanah;;9789601902999;;Ελληνικά Γράμματα;Mauritius;Africa;Greek;novel;;;Read;Piraeus Library
Notes from the Hyena's Belly;Nega Mezlekia;;9780312269883;312269889;Picador USA;Ethiopia;Africa;English;novel;;;Read;Piraeus Library
Noli Me Tangere;Jos? Rizal;;9780143039693;;Penguin Classics;Philippines;Asia;English;novel;;;Read;Piraeus Library
Το Μυθιστόρημα ενός Ανθρώπου δίχως Πεπρωμένο;Imre Kert?sz;;9789600335095;9600335095;Καστανιώτης;Hungary;Europe;Greek;novel;;;Read;Piraeus Library
Φάκελος Κ. ;Imre Kert?sz;;9789600344387;;Καστανιώτης;Hungary;Europe;Greek;novel;;;Read;Piraeus Library
Ο Διάβολος στο Σταυρό;Ng?g? wa Thiong'o;;9789600371277;;Καστανιώτης;Kenya;Africa;Greek;novel;;;Read;Piraeus Library
(απ)αλλαγή;Απρόσωπος Ποιητής, Κωνσταντίνα Πορφυρού;;;;Όστρια;Greece;Europe;Greek;poetry;;;Read;Piraeus Library
Τρεις Ταλαίπωροι Τίγρεις;Guillermo Cabrera Infante;;9789606863189;;Εκδόσεις Τόπος;Cuba;North America;Greek;novel;;;Read;Piraeus Library
The Railway;Hamid Ismailov;;9780099466130;;Vintage Books;Uzbekistan;Asia;English;novel;;;Read;Piraeus Library
Kintu;Jennifer Nansubuga Makumbi;;9781786074430;;Oneworld Publications;Uganda;Africa;English;novel;;;Read;Piraeus Library
Η Πείνα και η Δίψα - Η Φαλακρή Τραγουδίστρια;Eug?ne Ionesco;;9789602481813;;Δωδώνη;Romania;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Η Πόλη και τα Σκυλιά;Mario Vargas Llosa;;9789600325348;;Καστανιώτης;Peru;South America;Greek;novel;;;Read;Piraeus Library
Γραφείο Aποκρυφιστικών Yποθέσεων;?ric Fouassier;Σέργιος Τρεχλής;9789600125863;;Gutenberg;France;Europe;Greek;novel;;;Read;Piraeus Library
Η Καταγγελία;Bandi;;9789605696337;;Παπαδόπουλος;North Korea;Asia;Greek;short story collection;;;Read;Piraeus Library
Μεταφυσική του Mοσχαριού με τα δυο Kεφάλια;Stanis?aw Ignacy Witkiewicz;;9789602481349;;Δωδώνη;Poland;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Φαρενάιτ 451;Ray Bradbury;;9789609811460;9609811469;Παρά Πέντε;United States;North America;Greek;novel;;;Read;Piraeus Library
Η Μεταφράστρια;Leila Aboulela;;9789602960721;9602960728;Νίκας / Ελληνική Παιδεία;Sudan;Africa;Greek;novel;;;Read;Piraeus Library
Λατρεία;Hannah Kent;;9789605724740;;Ίκαρος;Australia;Oceania;Greek;novel;;;Read;Piraeus Library
Πύρινη ’νοιξη;Sahar Khalifeh;;9789600349559;;Καστανιώτης;State of Palestine;Africa;Greek;novel;;;Read;Piraeus Library
Το Πηγάδι;Juan Carlos Onetti;;9786185770068;;Μάγμα;Uruguay;South America;Greek;novel;;;Read;Piraeus Library
Αίμα στο Χιόνι & Περισσότερο Αίμα;Jo Nesb?;;9786180341782;;Μεταίχμιο;Norway;Europe;Greek;novel;;;Read;Piraeus Library
Σε Πρώτο Ενικό;Haruki Murakami;;9786180149104;;Ψυχογιός;Japan;Asia;Greek;short story collection;;;Read;Piraeus Library
Τα 13 Ρολόγια;James Thurber;;9789604711611;;Καλειδοσκόπιο;United States;North America;Greek;novel;;;Read;Piraeus Library
Στάχτες και Χώμα;Atiq Rahimi;;9789602746226;960274622Χ;Ψυχογιός;Afghanistan;Asia;Greek;novel;;;Read;Piraeus Library
Το Τελευταίο Θεώρημα του Φερμά;Simon Singh;;9789607122971;9607122976;Τραυλός;United Kingdom;Europe;Greek;popular science;;#mathematics;Read;Piraeus Library
Ο ’σχημος;Marius von Mayenburg;;9789606282843;;Κάπα Εκδοτική;Germany;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Δέκα ετών, διαζευγμένη;Nojoud Ali;;9789606917455;9606917452;Μοντέρνοι Καιροί;Yemen;Asia;Greek;novel;;;Read;Piraeus Library
Χιουρρέμ;Catherine Cl?ment;;9789605040499;;Νεφέλη;France;Europe;Greek;novel;;;Read;Piraeus Library
Κορίτσια του Ριάντ;Rajaa al-Sanea;;9789601418025;9601418024;Λιβάνης;Saudi Arabia;Asia;Greek;novel;;;Read;Piraeus Library
Το Τέλος της Αιωνιότητας;Isaac Asimov;;;;Κάκτος;United States;North America;Greek;novel;;;Read;Piraeus Library
Η Eπιθυμία της Κιάντα;Pepetela;;9789602182284;9602182288;Κριτική;Angola;Africa;Greek;novel;;;Read;Piraeus Library
Μεταξουργείο η Αρμονία;Aw Tash;;9789602749593;9602749598;Ψυχογιός;Malaysia;Asia;Greek;novel;;;Read;Piraeus Library
To Τελευταίο Πέταγμα του Φλαμίνγκο;Mia Couto;;9789600120844;9600120846;Gutenberg;Mozambique;Africa;Greek;novel;;;Read;Piraeus Library
Το Λουλούδι της Ερήμου;Waris Dirie;;9789604101023;9604101021;Ωκεανίδα;Somalia;Africa;Greek;novel;;;Read;Piraeus Library
Our Sister Killjoy;Ama Ata Aidoo;;9780571388004;;Faber Editions;Ghana;Africa;English;novel;;;Read;Piraeus Library
O Θάνατος είναι ζόρικη Δουλειά;Khaled Khalifa;;9789600366921;9600366926;Καστανιώτης;Syria;Asia;Greek;novel;;;Read;Piraeus Library
Δόνια Μπάρμπαρα;R?mulo Gallegos;;9789600318609;9600318603;Καστανιώτης;Venezuela;South America;Greek;novel;;;Read;Piraeus Library
Ράφτης Κυριών ;Georges Feydeau;;9789603854289;;Δωδώνη;France;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Οι Γέφυρες του Μάντισον;Robert James Waller;;9789607213587;9607213580;Ωκεανίδα;United States;North America;Greek;novel;;;Read;Piraeus Library
Το πέτρινο Νυφικό Κρεβάτι;Harry Mulisch;;9789600340860;9600340862;Καστανιώτης;Netherlands;Europe;Greek;novel;;;Read;Piraeus Library
Επιστροφή στη Zωή;Ishmael Beah;;9789600437096;9600437092;Κέδρος;Sierra Leone;Africa;Greek;novel;;;Read;Piraeus Library
Το Αγόρι που δάμασε τον ’νεμο;Bryan Mealer, William Kamkwamba;;9789605697471;9605697475;Παπαδόπουλος;Malawi, United States;Africa, North America;Greek;novel;;;Read;Piraeus Library
Ο Γερο-Γκρίνγκο;Carlos Fuentes;;9780004100029;;Ωκεανίδα;Mexico;North America;Greek;novel;;;Owned;Piraeus Library
Η Ραμπουιγέζα;Honore de Balzac;;;;Ηριδανός;France;Europe;Greek;novel;;;Read;Piraeus Library
H Ιστορία του Γιου μου;Nadine Gordimer;;9789600309171;9600309175;Καστανιώτης;South Africa;Africa;Greek;novel;;;Owned;Piraeus Library
Τσέρνομπιλ;Svetlana Alexievich;;9789608151956;9608151953;Περίπλους;Belarus;Europe;Greek;novel;;;Owned;Piraeus Library
Μαγικοί Σπόροι;V. S. Naipaul;;9789604103584;960410358X;Ωκεανίδα;Trinidad and Tobago;South America;Greek;novel;;;Read;Piraeus Library
Να πως χάνεις μια Γυναίκα;Junot D?az;;9789601655093;9601655093;Πατάκης;Dominican Republic;North America;Greek;novel;;;Owned;Piraeus Library
Σοφοκλή Αντιγόνη;;;9786188651241;;5η Εποχή;;;Greek;theatre program;;#theatre;Not Applicable;Piraeus Library
Scarlett: The Sequel to Margaret Mitchell's Gone With the Wind (2nd copy);Alexandra Ripley;;9780446515078;;Warner Books;United States;North America;English;novel;;;Read;Aigio Library (Personal)
Αισχύλου Ορέστεια (Τερζόπουλος 2025);;;9786185925024;;Εθνικό Θέατρο;;;Greek;theatre program;;;Not Applicable;Piraeus Library
